idMeasure;dtDate;nmActivePower;nmAmbientTemp ;nmControllerHubTemp;nmControllerTopTemp;nmFrequency;nmGeneratorSpeed;nmRotorSpeed;nmWindSpeed; nmPressure;nmNacelleDir;nmNacelleTemp;nmProduciblePower;nmProduciblePowerVestas;idDevice
51;01/10/21 08:30;-34,42920685;22,38984871;35,70001221;33,00005341;50,00586319;148,5391541;1,31174314;2,415226221;245,490097;92,80000305;33,00005341;0;0;157
52;01/10/21 08:40;-39,21349716;23,00003815;35,41017532;33,00005341;49,99610901;30,46149635;0,27982384;2,223466396;246,9868927;92,80000305;32,90000534;0;0;157
53;01/10/21 08:50;-39,62347412;23,00003815;35,50003433;33,00005341;50,02020645;32,36769867;0,295338333;2,442169428;245,8045197;92,80862427;33,00005341;0;0;157
54;01/10/21 09:00;-36,55659103;23,00003815;35,3898735;33,00005341;50,01725388;25,30473518;0,222521335;2,773832321;246,1458588;109,3585281;33,00005341;33;0;157
55;01/10/21 09:10;-35,25769424;23,00003815;35,50001907;33,00005341;49,99237823;23,93597603;0,222925171;2,241804123;245,9280243;94,97237396;32,81013107;0;0;157
56;01/10/21 09:20;-46,68212509;23,10002136;35,21011734;33,00005341;50,01755142;13,71762371;0,119996503;1,667342544;246,2745972;96,59999847;32,28989792;0;0;157
57;01/10/21 09:30;-57,28317261;23,38990593;35,4897995;33,00005341;50,01792145;7,726763248;0,057842501;1,378481507;247,6547241;96,59999847;32,29994965;0;0;157
58;01/10/21 09:40;-58,54688644;23,80000687;35,01013184;33,00005341;50,01450729;0,145035997;0;0,805890143;246,833252;96,59999847;32,01013184;0;0;157
59;01/10/21 09:50;-57,4825592;24,00004005;34,71012115;33,00005341;50,20462418;7,764755726;0,064659998;1,354831815;246,0622864;96,59999847;32,19999313;0;0;157
60;01/10/21 10:00;0;24,48985481;36,56959915;33,00005341;59,30009842;1,155380964;0,0078415;1,236587048;156,166275;96,59999847;32,88986588;0;0;157
61;01/10/21 10:10;0;24,61021233;37,00006104;33,28984451;59,30009842;-0,0024985;0;1,087121964;110,3516693;96,59999847;33,98984146;0;0;157
62;01/10/21 10:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
63;01/10/21 10:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
64;01/10/21 10:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
65;01/10/21 10:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
66;01/10/21 11:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
67;01/10/21 11:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
68;01/10/21 11:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
69;01/10/21 11:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
70;01/10/21 11:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
71;01/10/21 11:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
72;01/10/21 12:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
73;01/10/21 12:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
74;01/10/21 12:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
75;01/10/21 12:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
76;01/10/21 12:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
77;01/10/21 12:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
78;01/10/21 13:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
79;01/10/21 13:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
80;01/10/21 13:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
81;01/10/21 13:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
82;01/10/21 13:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
83;01/10/21 13:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
